Status,Project,Branch,Change-id,Upload date,Days since upload,Last update date,Days since last update,Author,Review
TO_MERGE,scm/meta/build-config,tizen_common,I083d2b6baeeb13e51c22cd949636c8549050a45a,2014-08-06,11,2014-08-13,4,rlvx,https://review.tizen.org/gerrit/#/c/25515
TO_MERGE,platform/kernel/linux-3.10,tizen,Ib8ddedc758533db15904cec92cedcd79d73e05d4,2014-07-22,27,2014-08-11,6,panpan,https://review.tizen.org/gerrit/#/c/24791
TO_MERGE,sdk/ide/webapp-eplugin,tizen,I1231d04f3718a4e0ea01e2214f2f828d3296cf0b,2014-08-06,12,2014-08-11,6,sanghyunnimlee,https://review.tizen.org/gerrit/#/c/25488
TO_MERGE,profile/ivi/ico-uxf-weston-plugin,tizen,I6a0a153889a457c12e595a11b7782ba3eb8bbff0,2014-07-29,19,2014-08-07,10,ronan,https://review.tizen.org/gerrit/#/c/25104
TO_MERGE,profile/ivi/ico-uxf-utilities,tizen,I02ec43836155f7a20f1d2907a1e09cc11367834b,2014-07-29,19,2014-08-07,10,ronan,https://review.tizen.org/gerrit/#/c/25102
TO_MERGE,profile/ivi/ico-uxf-device-input-controller,tizen,I2a6d879b91190d254362b02d8de2089504cf76ed,2014-07-29,19,2014-08-07,10,ronan,https://review.tizen.org/gerrit/#/c/25101
TO_MERGE,profile/ivi/ico-uxf-homescreen,tizen,I3ac8ed443d0edaf6c4f535c79891f2128f3efdd7,2014-07-18,30,2014-08-07,10,pwnissan,https://review.tizen.org/gerrit/#/c/24705
TO_MERGE,profile/ivi/ico-uxf-homescreen,tizen,I8ae049344ac2d87e0a27bb7b829d70b9b04faddf,2014-07-18,30,2014-08-07,10,pwnissan,https://review.tizen.org/gerrit/#/c/24704
TO_MERGE,scm/meta/snapshot-repo-conf,master,I4b91de9e7c61d8d8714439defdbb7f9ffb68f414,2014-03-27,143,2014-08-05,12,kad,https://review.tizen.org/gerrit/#/c/18649
TO_MERGE,platform/core/security/libprivilege-control,tizen,Iae5d175789742703b61322ffc89124e92636df54,2014-07-15,33,2014-07-30,18,ronan,https://review.tizen.org/gerrit/#/c/24508
TO_MERGE,platform/upstream/efl,tizen,Ic55940ef912ec8cf0dba602602f1a624c4e01f1f,2014-05-06,103,2014-07-16,33,mbachmann,https://review.tizen.org/gerrit/#/c/20390
TO_MERGE,platform/upstream/less,tizen,I7ddd920d62d3d7a37d7ed077f6f2cfcb2c7ec101,2013-10-23,298,2014-07-15,33,azdyb,https://review.tizen.org/gerrit/#/c/11266
TO_MERGE,test/tct/web/webapi,tizen_2.2,I6d55edf61e37ad1bbff3e12c1b5e6d500612f237,2014-06-20,58,2014-06-20,58,zqzhang,https://review.tizen.org/gerrit/#/c/23224
TO_MERGE,platform/core/security/privilege-checker,tizen,I15f62f9fc3e183acc21fd5dc7e64feb09c867fdc,2014-06-12,66,2014-06-16,62,rbartosiak,https://review.tizen.org/gerrit/#/c/22888
TO_MERGE,platform/core/messaging/email-service,tizen,I52fde05a3d1688fd83ddd52e627268e616500269,2014-06-13,65,2014-06-14,65,jbmartin,https://review.tizen.org/gerrit/#/c/22962
TO_MERGE,test/common/common-sanity-suite,tizen,Ic8332bcbd46babdb4334c5d8dad0c804bd308b78,2014-06-09,69,2014-06-09,69,xiaolei,https://review.tizen.org/gerrit/#/c/22594
TO_MERGE,test/common/common-sanity-suite,master,I66ce326f54ef805d932d1b567c92554f5cf2f209,2014-05-23,87,2014-05-23,86,xiaolei,https://review.tizen.org/gerrit/#/c/21557
TO_MERGE,platform/core/multimedia/libmm-utility,tizen,Ic2f86b80653257e440afc77db167840cc7296cdd,2014-01-17,212,2014-05-16,93,ravikirankn,https://review.tizen.org/gerrit/#/c/15258
TO_MERGE,apps/core/preloaded/starter,tizen,I70a60cf6785c0be5670aaf680d2c8d9c1a30044b,2014-04-30,110,2014-04-30,109,smlee,https://review.tizen.org/gerrit/#/c/20244
TO_MERGE,platform/core/location/lbs-dbus,tizen,I573771d87484fcf81b3cacb8ba4f0cb5a2c9da9e,2013-08-09,374,2014-04-28,111,mikeleib,https://review.tizen.org/gerrit/#/c/7856
TO_MERGE,apps/core/preloaded/net-popup,tizen,I230c0b54e4cac897954f4ea7c5e390255bced481,2014-02-26,172,2014-03-23,147,ronan,https://review.tizen.org/gerrit/#/c/16904
TO_MERGE,platform/framework/native/face,tizen,Ifb056909ebb537c963f1658e65688fa236edc07a,2013-10-22,299,2014-01-17,212,dmichaluk,https://review.tizen.org/gerrit/#/c/11197
TO_REVIEW,platform/core/uifw/dali-adaptor,tizen,Ie1ab44aaff897b02dd967282e73d04646d041941,2014-08-15,2,2014-08-15,2,ferransole,https://review.tizen.org/gerrit/#/c/26108
TO_REVIEW,platform/core/uifw/dali-core,tizen,Ibb489c3e4e9c25748689bb885edeb21817ac634d,2014-08-15,2,2014-08-15,2,ferransole,https://review.tizen.org/gerrit/#/c/26107
TO_REVIEW,platform/core/security/libcryptsvc,tizen,I8c5291e8e072d6751f7414a0d662f027974c9ad5,2014-08-15,2,2014-08-15,2,jolfzverb,https://review.tizen.org/gerrit/#/c/26080
TO_REVIEW,platform/upstream/gtest,tizen,I56a5288f799b3747fec6f0ec70f036b33c404b09,2014-08-14,3,2014-08-15,3,jolfzverb,https://review.tizen.org/gerrit/#/c/26061
TO_REVIEW,platform/upstream/glib,tizen,Ibdaee5b94a62cf41bcc37b78ed21751010e0c066,2014-08-14,3,2014-08-15,3,jolfzverb,https://review.tizen.org/gerrit/#/c/26059
TO_REVIEW,platform/upstream/freerdp,tizen,I2579738b24ab1305454dafe4fdad6ca2483602f0,2014-08-14,3,2014-08-15,3,jolfzverb,https://review.tizen.org/gerrit/#/c/26057
TO_REVIEW,platform/upstream/ecryptfs-utils,tizen,I0f8cb7c3023875504339ffcebc651f1568d3dfb1,2014-08-14,3,2014-08-15,3,jolfzverb,https://review.tizen.org/gerrit/#/c/26056
TO_REVIEW,platform/kernel/linux-3.10,tizen,I48ff1abb8a6553fab656c50fe1054bac8f398a4e,2014-08-13,5,2014-08-15,3,hclife,https://review.tizen.org/gerrit/#/c/25938
TO_REVIEW,platform/kernel/linux-3.10,tizen,I9962ccb4d3e92a58d8df5f005a3f921e967981a8,2014-08-07,10,2014-08-15,3,hclife,https://review.tizen.org/gerrit/#/c/25596
TO_REVIEW,scm/meta/obs,master,I0c490ef2592db263f1521cf9644c6984a201df86,2014-07-30,18,2014-08-14,3,ronan,https://review.tizen.org/gerrit/#/c/25140
TO_REVIEW,platform/upstream/rpm,tizen,I5e91b4a284e195ff823f25f9eeed12544344c4b0,2014-08-04,13,2014-08-14,3,kthierry,https://review.tizen.org/gerrit/#/c/25341
TO_REVIEW,scm/bb/meta-tizen,tizen,I91d72a93f7af1621b62bb5d44a634228f8253995,2014-08-14,3,2014-08-14,3,kthierry,https://review.tizen.org/gerrit/#/c/26045
TO_REVIEW,platform/upstream/update-desktop-files,tizen,Id3f3facdb07e216561ed8c2afda4e98227ba3b79,2014-08-14,3,2014-08-14,3,kthierry,https://review.tizen.org/gerrit/#/c/26044
TO_REVIEW,scm/bb/meta-tizen,tizen,I6fb046d538eb99ca9726c505bed528ca08be99d0,2014-08-14,3,2014-08-14,3,kthierry,https://review.tizen.org/gerrit/#/c/26043
